PID,Name,PClass,Age,Sex
1,"Allen, Miss Elisabeth Walton",1st,29,female
2,"Allison, Miss Helen Loraine",1st,2,female
3,"Allison, Mr Hudson Joshua Creighton",1st,30,male
4,"Allison, Mrs Hudson JC (Bessie Waldo Daniels)",1st,25,female
5,"Allison, Master Hudson Trevor",1st,0.92,male
6,"Anderson, Mr Harry",1st,47,male
7,"Andrews, Miss Kornelia Theodosia",1st,63,female
8,"Andrews, Mr Thomas, jr",1st,39,male
9,"Appleton, Mrs Edward Dale (Charlotte Lamson)",1st,58,female
10,"Artagaveytia, Mr Ramon",1st,71,male
11,"Astor, Colonel John Jacob",1st,47,male
12,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",1st,19,female
13,"Aubert, Mrs Leontine Pauline",1st,NA,female
14,"Barkworth, Mr Algernon H",1st,NA,male
15,"Baumann, Mr John D",1st,NA,male
16,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",1st,50,female
17,"Baxter, Mr Quigg Edmond",1st,24,male
18,"Beattie, Mr Thomson",1st,36,male
19,"Beckwith, Mr Richard Leonard",1st,37,male
20,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",1st,47,female
21,"Behr, Mr Karl Howell",1st,26,male
22,"Birnbaum, Mr Jakob",1st,25,male
23,"Bishop, Mr Dickinson H",1st,25,male
24,"Bishop, Mrs Dickinson H (Helen Walton)",1st,19,female
25,"Bjornstrm-Steffansson, Mr Mauritz Hakan",1st,28,male
26,"Blackwell, Mr Stephen Weart",1st,45,male
27,"Blank, Mr Henry",1st,39,male
28,"Bonnell, Miss Caroline",1st,30,female
29,"Bonnell, Miss Elizabeth",1st,58,female
30,"Borebank, Mr John James",1st,NA,male
31,"Bowen, Miss Grace Scott",1st,45,female
32,"Bowerman, Miss Elsie Edith",1st,22,female
33,"Bradley, Mr George",1st,NA,male
34,"Brady, Mr John Bertram",1st,41,male
35,"Brandeis, Mr Emil",1st,48,male
36,"Brewe, Dr Arthur Jackson",1st,NA,male
37,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",1st,44,female
38,"Brown, Mrs John Murray (Caroline Lane Lamson)",1st,59,female
39,"Bucknell, Mrs William Robert (Emma Eliza Ward)",1st,60,female
40,"Butt, Major Archibald Willingham",1st,45,male
41,"Calderhead, Mr Edward P",1st,NA,male
42,"Candee, Mrs Edward (Helen Churchill Hungerford)",1st,53,female
43,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)",1st,58,female
44,"Cardeza, Mr Thomas Drake Martinez",1st,36,male
45,"Carlsson, Mr Frans Olof",1st,33,male
46,"Carrau, Mr Francisco M",1st,NA,male
47,"Carrau, Mr Jose Pedro",1st,NA,male
48,"Carter, Mr William Ernest",1st,36,male
49,"Carter, Mrs William Ernest (Lucile Polk)",1st,36,female
50,"Carter, Miss Lucile Polk",1st,14,female
51,"Carter, Master William T II",1st,11,male
52,"Case, Mr Howard Brown",1st,49,male
53,"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)",1st,NA,female
54,"Cavendish, Mr Tyrell William",1st,36,male
55,"Cavendish, Mrs Tyrell William Julia Florence Siegel",1st,NA,female
56,"Chaffee, Mr Herbert Fuller",1st,46,male
57,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",1st,47,female
58,"Chambers, Mr Norman Campbell",1st,27,male
59,"Chambers, Mrs Norman Campbell (Bertha Griggs)",1st,31,female
60,"Cherry, Miss Gladys",1st,NA,female
61,"Chevre, Mr Paul",1st,NA,male
62,"Chibnall (Bowerman), Mrs Edith Martha",1st,NA,female
63,"Chisholm, Mr Roderick Robert",1st,NA,male
64,"Clark, Mr Walter Miller",1st,27,male
65,"Clark, Mrs Walter Miller (Virginia McDowell)",1st,26,female
66,"Clifford, Mr George Quincy",1st,NA,male
67,"Colley, Mr Edward Pomeroy",1st,NA,male
68,"Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)",1st,64,female
69,"Compton, Mr Alexander Taylor, Jr",1st,37,male
70,"Compton, Miss Sara Rebecca",1st,39,female
71,"Cornell, Mrs Robert Clifford (Malvina Helen Lamson)",1st,55,female
72,"Crafton, Mr John Bertram",1st,NA,male
73,"Crosby, Captain Edward Gifford",1st,70,male
74,"Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)",1st,69,female
75,"Crosby, Miss Harriet R",1st,36,female
76,"Cumings, Mr John Bradley",1st,39,male
77,"Cumings, Mrs John Bradley (Florence Briggs Thayer)",1st,38,female
78,"Daly, Mr Peter Denis ",1st,NA,male
79,"Daniel, Mr Robert Williams",1st,27,male
80,"Davidson, Mr Thornton",1st,31,male
81,"Davidson, Mrs Thornton (Orian Hays)",1st,27,female
82,"de Villiers, Madame Berthe",1st,NA,female
83,"Dick, Mr Albert Adrian",1st,31,male
84,"Dick, Mrs Albert Adrian Vera Gillespie",1st,17,female
85,"Dodge, Dr Washington",1st,NA,male
86,"Dodge, Mrs Washington (Ruth Vidaver)",1st,NA,female
87,"Dodge, Master Washington",1st,4,male
88,"Douglas, Mrs Frederick Charles (Suzette Baxter)",1st,27,female
89,"Douglas, Mr Walter Donald",1st,50,male
90,"Douglas, Mrs Walter Donald (Mahala Dutton)",1st,48,female
91,"Duff Gordon, Sir Cosmo Edmund",1st,49,male
92,"Duff Gordon, Lady (Lucille Wallace Sutherland)",1st,48,female
93,"Dulles, Mr William Crothers",1st,39,male
94,"Earnshaw, Mrs Boulton (Olive Potter)",1st,23,female
95,"Eustis, Miss Elizabeth Mussey",1st,53,female
96,"Evans, Miss Edith Corse",1st,36,female
97,"Flegenheim, Mrs Alfred (Antoinette)",1st,NA,female
98,"Flynn, Mr John Irving",1st,NA,male
99,"Foreman, Mr Benjamin Laventall",1st,30,male
100,"Fortune, Miss Alice Elizabeth",1st,24,female
101,"Fortune, Mr Charles Alexander",1st,19,male
102,"Fortune, Miss Ethel Flora",1st,28,female
103,"Fortune, Miss Mabel",1st,23,female
104,"Fortune, Mr Mark",1st,64,male
105,"Fortune, Mrs Mark (Mary McDougald)",1st,60,female
106,"Franklin, Mr Thomas Parham",1st,NA,male
107,"Frauenthal, Dr Henry William",1st,49,male
108,"Frauenthal, Mrs Henry William (Clara Heinsheimer)",1st,NA,female
109,"Frauenthal, Mr Isaac Gerald",1st,44,male
110,"Frolicher, Miss Marguerite",1st,22,female
111,"Frolicher-Stehli, Mr Maxmillian",1st,60,male
112,"Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)",1st,48,female
113,"Futrelle, Mr Jacques",1st,37,male
114,"Futrelle, Mrs Jacques (May Peel)",1st,35,female
115,"Gee, Mr Arthur H",1st,47,male
116,"Gibson, Miss Dorothy",1st,22,female
117,"Gibson, Mrs Leonard (Pauline C Boeson)",1st,45,female
118,"Goldenberg, Mr Samuel L",1st,49,male
119,"Goldenberg, Mrs Samuel L (Edwiga Grabowsko)",1st,NA,female
120,"Goldschmidt, Mr George B",1st,71,male
121,"Gracie, Colonel Archibald IV",1st,54,male
122,"Graham, Mr George Edward",1st,38,male
123,"Graham, Miss Margaret Edith",1st,19,female
124,"Graham, Mrs William Thompson (Edith Junkins)",1st,58,female
125,"Greenfield, Mrs Leo David (Blanche Strouse)",1st,45,female
126,"Greenfield, Mr William Bertram",1st,23,male
127,"Guggenheim, Mr Benjamin",1st,46,male
128,"Harder, Mr George Achilles",1st,25,male
129,"Harder, Mrs George Achilles (Dorothy Annan)",1st,21,female
130,"Harper, Mr Henry Sleeper",1st,48,male
131,"Harper, Mrs Henry Sleeper (Myna Haxtun)",1st,49,female
132,"Harris, Mr Henry Birkhardt",1st,45,male
133,"Harris, Mrs Henry Birkhardt (Irene Wallach)",1st,36,female
134,"Hawksford, Mr Walter James",1st,NA,male
135,"Hays, Mr Charles Melville",1st,55,male
136,"Hays, Mrs Charles Melville (Clara Jennings Gregg)",1st,52,female
137,"Hays, Miss Margaret Bechstein",1st,24,female
138,"Head, Mr Christopher",1st,NA,male
139,"Hilliard, Mr Herbert Henry",1st,NA,male
140,"Hipkins, Mr William Edward",1st,NA,male
141,"Hippach, Miss Jean Gertrude",1st,16,female
142,"Hippach, Mrs Louis Albert (Ida Sophia Fischer)",1st,44,female
143,"Hogeboom, Mrs John C (Anna Andrews)",1st,51,female
144,"Holverson, Mr Alexander Oskar",1st,42,male
145,"Holverson, Mrs Alexander Oskar (Mary Aline Towner)",1st,35,female
146,"Homer, Mr Harry",1st,35,male
147,"Hoyt, Mr Frederick Maxfield",1st,38,male
148,"Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)",1st,35,female
149,"Hoyt, Mr William F",1st,NA,male
150,"Isham, Miss Anne Elizabeth",1st,50,female
151,"Ismay, Mr Joseph Bruce",1st,49,male
152,"Jones, Mr Charles Cresson",1st,46,male
153,"Julian, Mr Henry Forbes",1st,NA,male
154,"Kent, Mr Edward Austin",1st,58,male
155,"Kenyon, Mr Frederick R",1st,41,male
156,"Kenyon, Mrs Frederick R (Marion)",1st,NA,female
157,"Kimball, Mr Edwin Nelson Jr",1st,42,male
158,"Kimball, Mrs Edwin Nelson Jr (Gertrude Parsons)",1st,40,female
159,"Klaber, Mr Herman",1st,NA,male
160,"Leader, Dr Alice Farnham",1st,NA,female
161,"Lewy, Mr Ervin G",1st,NA,male
162,"Lindeberg-Lind, Mr Erik Gustaf",1st,42,male
163,"Lindstrom, Mrs Carl Johan (Sigrid Posse)",1st,55,female
164,"Lines, Mrs Ernest H (Elizabeth Lindsey James)",1st,50,female
165,"Lines, Miss Mary Conover",1st,16,female
166,"Lingrey, Mr Edward",1st,NA,male
167,"Long, Mr Milton Clyde",1st,29,male
168,"Longley, Miss Gretchen Fiske",1st,21,female
169,"Loring, Mr Joseph Holland",1st,30,male
170,"Madill, Miss Georgette Alexandra",1st,15,female
171,"Maguire, Mr John Edward",1st,30,male
172,"Marechal, Mr Pierre",1st,NA,male
173,"Marvin, Mr Daniel Warner",1st,NA,male
174,"Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson)",1st,NA,female
175,"McCaffry, Mr Thomas Francis",1st,46,male
176,"McCarthy, Mr Timothy J",1st,54,male
177,"McGough, Mr James R",1st,36,male
178,"Meyer, Mr Edgar Joseph",1st,28,male
179,"Meyer, Mrs Edgar Joseph (Leila Saks)",1st,NA,female
180,"Millet, Mr Francis Davis",1st,65,male
181,"Minahan, Miss Daisy E",1st,33,female
182,"Minahan, Dr William Edward",1st,44,male
183,"Minahan, Mrs William Edward (Lillian E Thorpe)",1st,37,female
184,"Mock, Mr Philip E",1st,NA,male
185,"Molson, Mr Harry Markland",1st,55,male
186,"Moore, Mr Clarence Bloomfield",1st,47,male
187,"Natsch, Mr Charles H",1st,36,male
188,"Newell, Mr Arthur Webster",1st,58,male
189,"Newell, Miss Madeleine",1st,31,female
190,"Newell, Miss Marjorie",1st,23,female
191,"Newsom, Miss Helen Monypeny",1st,19,female
192,"Nicholson, Mr Arthur Ernest",1st,64,male
193,"Omont, Mr A Fernand",1st,NA,male
194,"Ostby, Mr Engelhart Cornelius",1st,64,male
195,"Ostby, Miss Helen Raghnild",1st,22,female
196,"Ovies y Rodriguez, Mr Servando",1st,28,male
197,"Parr, Mr William Henry Marsh",1st,NA,male
198,"Partner, Mr Austin",1st,NA,male
199,"Payne, Mr Vivian Ponsonby",1st,22,male
200,"Pears, Mr Thomas",1st,NA,male
201,"Pears, Mrs Thomas (Edith)",1st,NA,female
202,"Penasco, Mr Victor de Satode",1st,18,male
203,"Penasco, Mrs Victor de Satode (Josefa de Soto)",1st,17,female
204,"Peuchen, Major Arthur Godfrey",1st,52,male
205,"Porter, Mr Walter Chamberlain",1st,46,male
206,"Potter, Mrs Thomas, Jr (Lily Alexenia Wilson)",1st,56,female
207,"Reuchlin, Jonkheer John George",1st,NA,male
208,"Rheims, Mr George Lucien",1st,NA,male
209,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",1st,43,female
210,"Roebling, Mr Washington Augustus 2nd",1st,31,male
211,"Romaine, Mr Charles Hallace",1st,NA,male
212,"Rood, Mr Hugh R",1st,NA,male
213,"Rosenbaum (Russell), Miss Edith Louise",1st,33,female
214,"Ross, Mr John Hugo",1st,NA,male
215,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",1st,27,female
216,"Rothschild, Mr Martin",1st,55,male
217,"Rothschild, Mrs Martin (Elizabeth L Barrett)",1st,54,female
218,"Rowe, Mr Alfred G",1st,NA,male
219,"Ryerson, Mr Arthur Larned",1st,61,male
220,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",1st,48,female
221,"Ryerson, Miss Emily Borie",1st,18,female
222,"Ryerson, Master John Borie",1st,13,male
223,"Ryerson, Miss Susan (Suzette) Parker",1st,21,female
224,"Saalfeld, Mr Adolphe",1st,NA,male
225,"Salomon, Mr Abraham L",1st,NA,male
226,"Schabert, Mrs Paul (Emma Mock)",1st,NA,female
227,"Seward, Mr Frederic Kimber",1st,34,male
228,"Shutes, Miss Elizabeth W",1st,40,female
229,"Silverthorne, Mr Spencer Victor",1st,36,male
230,"Silvey, Mr William Baird",1st,50,male
231,"Silvey, Mrs William Baird (Alice Munger)",1st,39,female
232,"Simonius-Blumer, Col Alfons",1st,56,male
233,"Sloper, Mr William Thompson",1st,28,male
234,"Smart, Mr John Montgomery",1st,56,male
235,"Smith, Mr James Clinch",1st,56,male
236,"Smith, Mr Lucien Philip",1st,24,male
237,"Smith, Mrs Lucien Philip (Mary Eloise Hughes",1st,18,female
238,"Smith, Mr Richard William",1st,NA,male
239,"Snyder, Mr John Pillsbury",1st,24,male
240,"Snyder, Mrs John Pillsbury (Nelle Stevenson)",1st,23,female
241,"Spedden, Mr Frederick Oakley",1st,45,male
242,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",1st,40,female
243,"Spedden, Master Robert Douglas",1st,6,male
244,"Spencer, Mr William Augustus",1st,57,male
245,"Spencer, Mrs William Augustus (Marie Eugenie)",1st,NA,female
246,"Staehlin, Dr Max",1st,32,male
247,"Stead, Mr William Thomas",1st,62,male
248,"Stengel, Mr Charles Emil Henry",1st,54,male
249,"Stengel, Mrs Charles Emil Henry (Annie May Morris)",1st,43,female
250,"Stephenson, Mrs Walter Bertram (Martha Eustis)",1st,52,female
251,"Stewart, Mr Albert A",1st,NA,male
252,"Stone, Mrs George Nelson (Martha E)",1st,62,female
253,"Straus, Mr Isidor",1st,67,male
254,"Straus, Mrs Isidor (Ida Blun)",1st,63,female
255,"Sutton, Mr Frederick",1st,61,male
256,"Swift, Mrs Frederick Joel (Margaret Welles Barron)",1st,46,female
257,"Taussig, Mr Emil",1st,52,male
258,"Taussig, Mrs Emil (Tillie Mandelbaum)",1st,39,female
259,"Taussig, Miss Ruth",1st,18,female
260,"Taylor, Mr Elmer Zebley",1st,48,male
261,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)",1st,NA,female
262,"Thayer, Mr John Borland",1st,49,male
263,"Thayer, Mrs John Borland (Marian Longstreth Morris)",1st,39,female
264,"Thayer, Mr John Borland, jr",1st,17,male
265,"Thorne, Mr George (alias of: Mr George Rosenshine)",1st,46,male
266,"Thorne, Mrs Gertrude Maybelle",1st,NA,female
267,"Tucker, Mr Gilbert Milligan, jr",1st,31,male
268,"Uruchurtu, Mr Manuel E",1st,NA,male
269,"Van Derhoef, Mr Wyckoff",1st,61,male
270,"Walker, Mr William Anderson",1st,47,male
271,"Warren, Mr Frank Manley",1st,64,male
272,"Warren, Mrs Frank Manley (Anna S Atkinson)",1st,60,female
273,"Weir, Col John",1st,60,male
274,"White, Mrs J Stuart (Ella Holmes)",1st,55,female
275,"White, Mr Percival Wayland",1st,54,male
276,"White, Mr Richard Frasar",1st,21,male
277,"Wick, Mr George Dennick",1st,57,male
278,"Wick, Mrs George Dennick (Martha Hitchcock)",1st,45,female
279,"Wick, Miss Mary Natalie",1st,31,female
280,"Widener, Mr George Dunton",1st,50,male
281,"Widener, Mrs George Dunton (Eleanor Elkins)",1st,50,female
282,"Widener, Mr Harry Elkins",1st,27,male
283,"Willard, Miss Constance",1st,20,female
284,"Williams, Mr Charles Duane",1st,51,male
285,"Williams, Mr Fletcher Lambert",1st,NA,male
286,"Williams, Mr Richard Norris II",1st,21,male
287,"Woolner, Mr Hugh",1st,NA,male
288,"Wright, Mr George",1st,NA,male
289,"Young, Miss Marie Grice",1st,36,female
290,"Barber, Ms ",1st,NA,female
291,"Bazzani, Ms Albina",1st,NA,female
292,"Bidois, Miss Rosalie",1st,NA,female
