id,lat,lon,street,city,state
110367,41.398875,-75.673838,1000 S Washington Ave,Scranton,PA
164548,47.609888,-122.334868,1420 5th Ave,Seattle,WA
355416,40.859906,-96.681946,4900 N 27th St,Lincoln,NE
394769,38.935148,-76.9504,3831 Bladensburg Rd,Colmar Manor,MD
123365,43.313042,-87.925049,1020 Port Washington Road,Grafton,WI
361732,33.762886,-116.300694,39615 WASHINGTON STE H,PALM DESERT,CA
361576,32.86812,-117.233473,8849 Villa La Jolla Dr,La Jolla,CA
349272,39.307971,-84.317397,5705 Deerfield Blvd,Mason,OH
109595,40.448273,-80.177507,249 Summit Park Dr.,Pittsburgh,PA
131339,43.590275,-116.316228,10751 WEST OVERLAND ROAD,BOISE,ID
1008896,29.871037,-90.079088,3611 Lapalco Blvd.,Harvey,LA
344611,40.903918,-74.563716,530 MT Pleasant Ave,Dover,NJ
344612,41.83286,-88.03206,2000 Butterfield Rd,Downers Grove,IL
346013,41.614246,-83.681628,5900 W Airport Hwy,Toledo,OH
346014,40.670283,-111.986574,4581 S 4000 W,West Valley City,UT
359699,41.247467,-111.978157,984 Wall Avenue,Ogden,UT
166624,32.870434,-117.214157,8750 Genesee Avenue,San Diego,CA
356217,36.176478,-94.555177,883 S DOGWOOD,SILOAM SPRINGS,AR
133911,34.017733,-118.108479,1012 W BEVERLY BLVD,MONTEBELLO,CA
119860,39.897132,-83.438071,224 Lafayette St.,London,OH
111139,39.109701,-77.536475,241 Fort Evans Rd.,Leesburg,VA
132949,35.641198,-106.01174,3521 Zafarano Drive,Santa Fe,NM
118190,36.401488,-86.169974,210 McMurry Boulevard  East,Hartsville,TN
138653,45.408113,-122.793192,17942 SW Mcewan Road,Tigard,OR
151253,40.343085,-105.074284,2842 SE FRONTAGE RD,LOVELAND,CO
145942,37.534085,-122.000269,5255 MOWRY AVE,FREMONT,CA
355752,29.984799,-91.819346,1102 E ADMIRAL DOYLE DR,NEW IBERIA,LA
131681,40.252369,-111.668661,1324 North State Street,Provo,UT
341529,45.822725,-92.980715,630 13th Street,Pine City,MN
357655,29.728662,-95.64398,2808 South Hwy 6,Houston,TX
130796,40.152948,-105.130581,800 S Hover St,Longmont,CO
135272,33.77847,-116.459339,68509 E Us Highway 111,Cathedral City,CA
1008491,38.457682,-78.050836,10411 James Monroe Hwy.,Culpeper,VA
155761,48.846816,-122.591568,2031 Main St,Ferndale,WA
136591,36.974653,-120.081069,1977 W Cleveland Ave,Madera,CA
362284,36.053558,-118.995906,500 WEST VANDALIA AVENUE,PORTERVILLE,CA
373655,28.054561,-82.427999,2794 E Fowler Ave,Tampa,FL
361679,32.687952,-117.178536,853 ORANGE AVE,CORONADO,CA
111140,39.113585,-77.537211,1019-B Edwards Ferry Rd.,Leesburg,VA
333035,38.997921,-105.550964,7125 W 88th Ave,Westminster,CO
148713,38.939949,-77.178569,1313 DOLLEY MADISON BLVD,MCLEAN,VA
155743,38.258046,-122.050267,1307 Travis Blvd,Fairfield,CA
163258,34.112843,-117.763382,2145 Foothill Blvd.,La Verne,CA
150335,31.778943,-82.350578,198 W. PARKER St,BAXLEY,GA
127849,32.704465,-96.283761,301 Tanger Dr.,Terrell,TX
149738,34.133346,-117.26242,2055 Elks Dr.,San Bernardino,CA
361894,34.104029,-117.29944,292 North G Street,San Bernardino,CA
361760,32.766922,-115.533518,564 Danenberg Dr,El Centro,CA
344357,41.926423,-87.792863,2555 N Normandy,Chicago,IL
344359,41.209593,-73.191728,656 Reservoir Avenue,Bridgeport,CT
137515,37.229523,-121.884212,6081 MERIDIAN AVE,SAN JOSE,CA
359610,40.577477,-111.835753,9570 S Highland Dr,Sandy,UT
106158,40.867076,-74.103208,136 Passaic St,Garfield,NJ
137519,37.299152,-121.82318,1009 E CAPITOL EXPWY,SAN JOSE,CA
143818,39.035748,-77.41021,20955 DAVENPORT DR. #102,STERLING,VA
147236,42.353212,-83.386186,8791 N. Wayne Road,WESTLAND,MI
350356,42.490696,-82.940659,26500 Gratiot Ave,Roseville,MI
361533,33.179691,-117.326873,2525 El Camino Real,Carlsbad,CA
134079,33.818379,-118.109632,3380 LOS COYOTES DIA,LONG BEACH,CA
156333,41.218791,-111.970515,2590 Washington Blvd,Ogden,UT
159571,29.995064,-95.622488,13135 Louetta,Cypress,TX
106323,40.717038,-74.05307,414 Grand St,Jersey City,NJ
354094,40.131103,-88.255474,820 Bloomington Rd,Champaign,IL
107180,40.740584,-73.985981,315 Park Avenue South,Manhattan,NY
151799,41.753562,-86.117383,12830 STATE Rd 23,GRANGER,IN
111599,39.367323,-77.145381,1001 Twin Arch Rd,Mt Airy,MD
114533,33.923933,-84.468188,2900 Delk Rd Se  Ste 2200,Marietta,GA
360923,33.985648,-118.395489,257 Fox Hills Mall,Culver City,CA
113638,35.740723,-81.366054,603 Us Highway 321 Nw,Hickory,NC
112940,35.594206,-78.77655,1361 E Broad Street,Fuquay Varina,NC
139010,47.627379,-122.132385,1955 156th Ave Ne,Bellevue,WA
176204,48.241443,-122.357412,27008 92nd Ave NW,Stanwood,WA
153201,28.33492,-81.588507,3020 Main Gate Lane,Kissimmee,FL
394593,39.669795,-75.598657,148 Sunset Blvd.,New Castle,DE
158556,38.986886,-76.98786,7633 New Hampshire Ave,Takoma Park,MD
128271,32.434361,-97.780672,735 E Highway 377,Granbury,TX
353907,40.458515,-88.375331,628 S SANGAMON,GIBSON CITY,IL
